Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win/Loss (Fighter1),Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Molly McCann,Julija Stoliarenko,Women's Flyweight,SUB Armbar,1,1:55,Lose,70%,20,14,6,0,5.79,49%,4.94,63%,1.82,38%,43%,0.6,50%,22,11,9,2,2.49,39%,4.54,46%,0.93,27%,54%,1.7
Andre Fili,Nathaniel Wood,Featherweight,U-DEC,3,5:00,Lose,68%,34,23,11,0,3.85,37%,4.11,51%,2.16,47%,69%,0.3,77%,26,20,6,0,5.91,50%,4.22,56%,1.74,48%,70%,0.5
Andre Muniz,Paul Craig,Middleweight,KO/TKO Elbows,2,4:40,Lose,80%,30,24,6,0,1.97,50%,1.99,54%,4.23,50%,35%,1.2,68%,25,17,7,1,2.42,46%,2.86,45%,1.76,22%,37%,1.6
Jai Herbert,Fares Ziam,Lightweight,U-DEC,3,5:00,Lose,67%,18,12,5,1,2.69,41%,3.15,45%,0.2,10%,57%,0,79%,19,15,4,0,2.7,48%,1.72,65%,0.81,23%,67%,0.2
Josh Culibao,Lerone Murphy,Featherweight,U-DEC,3,5:00,Lose,73%,15,11,3,1,3.2,42%,3.24,56%,0,0%,67%,0.3,93%,14,13,0,1,3.65,50%,2.4,56%,1.29,46%,46%,0.9
Davey Grant,Daniel Marcos,Bantamweight,S-DEC,3,5:00,Lose,68%,22,15,7,0,4.77,42%,3.82,55%,1.26,41%,61%,0.2,100%,15,15,0,0,5.75,50%,4,66%,0.33,50%,89%,0
Danny Roberts,Jonny Parsons,Welterweight,KO/TKO Punches,2,4:57,Lose,69%,26,18,8,0,3.18,39%,3.73,50%,0.24,9%,57%,0.2,75%,12,9,3,0,4.65,44%,4.89,60%,0,0%,66%,0
Marc Diakiese,Joel Alvarez,Lightweight,SUB D'Arce Choke,2,4:26,Lose,71%,24,17,7,0,2.54,40%,2.64,52%,3.29,43%,66%,0,87%,23,20,3,0,3.65,46%,3.37,50%,0,0%,11%,1.3
Jamal Pogues,Mick Parkin,Heavyweight,U-DEC,3,5:00,Lose,73%,15,11,4,0,3.36,44%,4.17,50%,2.4,48%,77%,0,100%,9,9,0,0,4.54,51%,3.94,59%,1.6,41%,50%,0.3
Bryan Barberena,Makhmud Muradov,Middleweight,U-DEC,3,5:00,Lose,60%,30,18,12,0,5.35,48%,4.59,44%,0.13,22%,50%,0.3,76%,34,26,8,0,4.21,43%,2.57,61%,3.03,66%,77%,0.2
Pannie Kianzad,Ketlen Vieira,Women's Bantamweight,U-DEC,3,5:00,Lose,68%,25,17,8,0,4.74,49%,3.67,53%,0.46,33%,66%,0.1,82%,17,14,3,0,3.04,41%,3.92,51%,1.51,44%,92%,0.6
Yanal Ashmouz,Chris Duncan,Lightweight,U-DEC,3,5:00,Lose,88%,8,7,1,0,3.08,42%,5.35,59%,0.92,50%,50%,0,85%,13,11,2,0,4.88,46%,3.65,49%,3.85,38%,33%,0
Shauna Bannon,Bruna Brasil,Women's Strawweight,U-DEC,3,5:00,Lose,83%,6,5,1,0,3.6,37%,3.73,37%,0,0%,33%,0,64%,14,9,4,1,2.94,62%,3.92,51%,1.59,62%,53%,0
Daniel Barez,Jafel Filho,Flyweight,SUB Arm Triangle,1,3:26,Lose,73%,22,16,6,0,3.8,53%,5.32,55%,4.07,31%,91%,1.6,84%,19,16,3,0,2.36,41%,2,47%,1.77,33%,55%,2.6
Mayra Bueno Silva,Holly Holm,Women's Bantamweight,Overturned Guillotine Choke,2,0:38,NC,77%,13,10,3,0,3.84,57%,4.86,53%,0.68,38%,68%,1.6,68%,22,15,7,0,3.13,40%,2.92,55%,0.87,30%,76%,0.1
Bassil Hafez,Jack Della Maddalena,Welterweight,S-DEC,3,5:00,Lose,62%,13,8,4,1,2.13,25%,5.53,39%,3,15%,50%,0,89%,19,17,2,0,6.74,53%,4.27,66%,0.21,16%,70%,0.2
Ottman Azaitar,Francisco Prado,Lightweight,KO/TKO Punches,1,4:05,Lose,87%,15,13,2,0,5.73,51%,4.96,48%,0,0%,100%,0,86%,14,12,2,0,4.58,41%,5.66,52%,0,0%,25%,0.4
Albert Duraev,JunYong Park,Middleweight,SUB Rear Naked Choke,2,4:45,Lose,76%,21,16,5,0,2.99,40%,3.01,59%,1.97,29%,66%,0.6,74%,23,17,6,0,4.53,50%,3.3,53%,1.83,50%,57%,1.1
Chelsea Chandler,Norma Dumont,Women's Featherweight,U-DEC,3,5:00,Lose,75%,8,6,2,0,3.45,45%,3.09,49%,1.31,60%,33%,0,85%,13,11,2,0,3.11,49%,1.89,66%,1.91,68%,72%,0
Terrance McKinney,Nazim Sadykhov,Lightweight,SUB Rear Naked Choke,2,1:07,Lose,71%,21,15,6,0,4.46,52%,2.51,44%,3.52,36%,85%,1,82%,11,9,1,1,4.94,48%,5.72,48%,1.71,62%,75%,0.3
Tucker Lutz,Melsik Baghdasaryan,Featherweight,U-DEC,3,5:00,Lose,75%,16,12,4,0,3.74,46%,3.25,44%,1.99,44%,69%,0.2,80%,10,8,2,0,5.28,61%,3.06,58%,0,0%,72%,0
Istela Nunes,Viktoriia Dudakova,Women's Strawweight,KO/TKO,1,0:34,Lose,55%,11,6,5,0,5.02,45%,4.84,60%,0,0%,50%,0,100%,8,8,0,0,3.14,52%,2.45,50%,2.45,41%,50%,0
Austin Lingo,Melquizael Costa,Featherweight,U-DEC,3,5:00,Lose,75%,12,9,3,0,3.86,37%,4.86,57%,0.43,66%,75%,0,74%,27,20,7,0,4.29,46%,2.99,59%,2.49,27%,42%,0.5
Genaro Valdez,Evan Elder,Lightweight,U-DEC,3,5:00,Lose,77%,13,10,3,0,4.08,30%,7.16,48%,1.54,44%,36%,0.4,80%,10,8,2,0,4.75,48%,5,57%,0.74,22%,28%,0.4
Tyson Nam,Azat Maksum,Flyweight,S-DEC,3,5:00,Lose,58%,36,21,14,1,3.87,33%,4.97,65%,0,0%,87%,0,94%,18,17,1,0,2.8,23%,5.23,55%,2,22%,66%,0.5
Carl Deaton,Alexander Munoz,Lightweight,U-DEC,3,5:00,Lose,71%,24,17,7,0,1.53,31%,1.85,61%,0,0%,50%,0,78%,9,7,2,0,3.7,42%,4.73,55%,3,40%,100%,0
Ashlee Evans-Smith,Ailin Perez,Women's Bantamweight,U-DEC,3,5:00,Lose,50%,12,6,6,0,4.03,34%,4.59,53%,0.95,22%,50%,0,82%,11,9,2,0,2.96,55%,1.18,57%,4.89,50%,75%,0
Yair Rodriguez,Alexander Volkanovski,Featherweight,KO/TKO Punches,3,4:19,Lose,76%,21,16,5,0,4.65,46%,3.99,52%,0.69,27%,58%,0.7,87%,30,26,4,0,6.16,56%,3.44,58%,1.78,37%,70%,0.2
Brandon Moreno,Alexandre Pantoja,Flyweight,S-DEC,5,5:00,Lose,68%,31,21,8,2,3.87,44%,3.63,59%,1.74,46%,63%,0.5,84%,32,27,5,0,4.32,49%,3.9,50%,2.2,48%,67%,1
Robert Whittaker,Dricus Du Plessis,Middleweight,KO/TKO Punches,2,2:23,Lose,79%,33,26,7,0,4.57,42%,3.45,59%,0.81,38%,82%,0,91%,23,21,2,0,6.49,50%,4.77,55%,3,51%,40%,0.8
Jalin Turner,Dan Hooker,Lightweight,S-DEC,3,5:00,Lose,64%,22,14,8,0,5.6,48%,4.57,41%,0.79,55%,74%,1.1,66%,35,23,12,0,5.08,48%,4.76,51%,0.79,34%,80%,0.4
Val Woodburn,Bo Nickal,Middleweight,KO/TKO Punches,1,0:38,Lose,78%,9,7,2,0,1.6,35%,4.93,36%,1.92,100%,50%,0,100%,6,6,0,0,1.64,62%,0.5,70%,7.46,50%,0%,7.5
Niko Price,Robbie Lawler,Welterweight,KO/TKO Punches,1,0:38,Lose,68%,22,15,7,0,5.46,42%,5.6,48%,0.7,20%,64%,0.7,65%,46,30,16,0,3.85,47%,4.67,59%,0.65,64%,65%,0
Edgar Chairez,Tatsuro Taira,Catch Weight,U-DEC,3,5:00,Lose,69%,16,11,5,0,2.69,48%,4.1,43%,0,0%,41%,1.7,100%,15,15,0,0,3.51,71%,1.15,47%,2.12,41%,71%,2.4
Yazmin Jauregui,Denise Gomes,Women's Strawweight,KO/TKO Punches,1,0:20,Lose,92%,12,11,1,0,6.26,38%,5.12,55%,0,0%,100%,0,73%,11,8,3,0,4.81,48%,3.66,49%,1.13,33%,47%,0.8
Jimmy Crute,Alonzo Menifield,Light Heavyweight,SUB Guillotine Choke,2,1:55,Lose,71%,17,12,4,1,3.68,54%,3.04,44%,4.84,57%,60%,2,79%,19,15,3,1,3.92,57%,3.51,49%,0.67,33%,75%,0.3
Marcin Prachnio,Vitor Petrino,Light Heavyweight,SUB Arm Triangle,3,3:42,Lose,71%,24,17,7,0,5.61,55%,3.3,54%,0.17,20%,58%,0,100%,11,11,0,0,2.74,45%,2.49,45%,3.86,68%,71%,0.8
Terrence Mitchell,Cameron Saaiman,Bantamweight,KO/TKO Punches,1,3:10,Lose,78%,18,14,4,0,2.21,34%,8.85,41%,3.69,50%,0%,0,82%,11,9,2,0,5.32,46%,4.18,51%,0.91,28%,47%,0.7
Shannon Ross,Jesus Aguilar,Flyweight,KO/TKO Punch,1,0:17,Lose,59%,22,13,9,0,5.96,39%,7.39,55%,0,0%,100%,0,83%,12,10,2,0,1.49,50%,1.11,59%,1.9,33%,40%,1.4
Kamuela Kirk,Esteban Ribovics,Lightweight,U-DEC,3,5:00,Lose,67%,18,12,6,0,3.22,50%,5.87,40%,1.5,26%,47%,1.2,92%,13,12,1,0,6.16,52%,3.4,52%,0.95,66%,60%,0.5
Abus Magomedov,Sean Strickland,Middleweight,KO/TKO Punches,2,4:20,Lose,78%,32,25,6,1,3.73,42%,5.36,54%,0.61,50%,100%,0,82%,34,28,6,0,5.91,41%,4.33,62%,0.85,64%,77%,0.2
Damir Ismagulov,Grant Dawson,Lightweight,U-DEC,3,5:00,Lose,89%,27,24,3,0,3.36,42%,2.44,61%,1,28%,70%,0,87%,23,20,2,1,2.97,51%,2.27,45%,3.68,36%,40%,1.5
Max Griffin,Michael Morales,Welterweight,U-DEC,3,5:00,Lose,67%,30,20,10,0,3.92,49%,3.81,57%,1.45,41%,68%,0.3,100%,16,16,0,0,5.28,46%,3.6,52%,1.24,41%,91%,0
Melissa Gatto,Ariane Lipski,Women's Flyweight,S-DEC,3,5:00,Lose,67%,12,8,2,2,3.98,48%,3.13,54%,1.18,21%,63%,0.3,68%,25,17,8,0,4.27,40%,4.23,52%,0.64,55%,79%,0.4
Ismael Bonfim,Benoit Saint Denis,Lightweight,SUB Rear Naked Choke,1,4:48,Lose,83%,23,19,4,0,4.91,57%,2.66,76%,1.11,28%,81%,0,87%,15,13,2,0,5.7,54%,4.98,42%,4.76,37%,69%,1.5
Brunno Ferreira,Nursulton Ruziboev,Middleweight,KO/TKO Punches,1,1:17,Lose,92%,12,11,1,0,5,50%,4.17,48%,1.25,16%,66%,0,81%,42,34,8,0,3.93,43%,0.87,80%,3.27,100%,0%,0
Kevin Lee,Rinat Fakhretdinov,Welterweight,SUB Guillotine Choke,1,0:55,Lose,69%,26,18,8,0,3.88,42%,3.6,50%,3.18,43%,75%,0.8,91%,23,21,1,1,4.05,56%,2.16,52%,4.25,46%,100%,0.3
Westin Wilson,Joanderson Brito,Featherweight,KO/TKO Punches,1,2:54,Lose,64%,25,16,9,0,2.11,34%,6.62,28%,0,0%,0%,4.2,80%,20,16,3,1,3.32,51%,2.62,47%,3.4,75%,50%,0.8
Yana Santos,Karol Rosa,Women's Featherweight,S-DEC,3,5:00,Lose,64%,22,14,8,0,4.16,56%,3.03,50%,1.11,53%,42%,0.1,74%,23,17,6,0,6.34,56%,4.78,49%,1.22,45%,68%,0
Guram Kutateladze,Elves Brener,Lightweight,KO/TKO Punch,3,3:17,Lose,75%,16,12,4,0,4.62,45%,4.53,56%,0.69,18%,75%,0,84%,19,16,3,0,4.64,46%,5.05,55%,0.93,20%,85%,0
Ivana Petrovic,Luana Carolina,Women's Flyweight,U-DEC,3,5:00,Lose,86%,7,6,1,0,1.47,35%,2.73,52%,2,33%,66%,2,71%,14,10,4,0,4.63,49%,3.63,49%,0.38,42%,76%,0.6
Blagoy Ivanov,Alexandr Romanov,Heavyweight,U-DEC,3,5:00,Lose,76%,25,19,6,0,3.25,40%,4.2,53%,0.69,40%,61%,0.1,89%,19,17,2,0,4.06,52%,2.2,50%,4.32,54%,20%,0.9
Josh Emmett,Ilia Topuria,Featherweight,U-DEC,5,5:00,Lose,83%,23,19,4,0,4.04,36%,4.61,61%,0.91,37%,46%,0.1,100%,15,15,0,0,4.4,46%,3.35,65%,1.92,56%,92%,1.3
Amanda Ribas,Maycee Barber,Women's Flyweight,KO/TKO Elbows,2,3:42,Lose,71%,17,12,5,0,4.63,40%,3.4,61%,2.07,51%,85%,0.7,88%,16,14,2,0,4.7,53%,2.9,54%,1.44,43%,53%,0.1
Justin Tafa,Austen Lane,Heavyweight,CNC,1,0:29,NC,64%,11,7,4,0,4.09,54%,5.02,47%,0,0%,50%,0,75%,16,12,4,0,4.48,47%,2.85,48%,0,0%,0%,0
Gabriel Santos,David Onama,Featherweight,KO/TKO Punch,2,4:13,Lose,83%,12,10,2,0,4.46,55%,6.03,44%,4.34,46%,66%,1.2,85%,13,11,2,0,5.38,46%,5.48,51%,0.87,18%,45%,0.3
Bruno Silva,Brendan Allen,Middleweight,SUB Rear Naked Choke,1,4:39,Lose,68%,34,23,11,0,4.12,49%,5.45,41%,0.93,27%,73%,0,83%,29,24,5,0,3.98,53%,3.83,47%,1.74,47%,58%,1.4
Phil Rowe,Neil Magny,Welterweight,S-DEC,3,5:00,Lose,71%,14,10,4,0,3.94,52%,4.32,54%,0.85,40%,59%,0.4,71%,41,29,12,0,3.47,46%,2.42,52%,2.17,40%,54%,0.3
Wellington Turman,Randy Brown,Welterweight,U-DEC,3,5:00,Lose,69%,26,18,8,0,3.23,51%,4.17,45%,1.55,20%,42%,0.8,78%,23,18,5,0,4.37,46%,3.33,54%,0.78,39%,74%,0.5
Loik Radzhabov,Mateusz Rebecki,Lightweight,KO/TKO Punch,2,2:36,Lose,75%,24,18,5,1,2.93,42%,4.73,45%,6.73,57%,55%,0,95%,19,18,1,0,5.31,53%,2.01,63%,4.16,72%,66%,1.6
Gillian Robertson,Tabatha Ricci,Women's Strawweight,U-DEC,3,5:00,Lose,62%,21,13,8,0,2.61,46%,3.12,56%,2.53,43%,43%,1,82%,11,9,2,0,4.41,37%,4.86,59%,3.39,41%,71%,0.2
Zhalgas Zhumagulov,Joshua Van,Flyweight,S-DEC,3,5:00,Lose,61%,23,14,9,0,5.24,43%,5.86,52%,1.3,19%,75%,0.2,91%,11,10,1,0,9.08,53%,5.77,60%,1.14,42%,78%,0
Trevor Peek,Chepe Mariscal,Lightweight,U-DEC,3,5:00,Lose,82%,11,9,2,0,4.58,54%,4.17,44%,1.82,53%,54%,0,70%,23,16,6,1,4.7,52%,3.68,52%,2.35,28%,66%,0.4
Jamall Emmers,Jack Jenkins,Featherweight,S-DEC,3,5:00,Lose,71%,28,20,8,0,5.3,48%,4.05,57%,1.83,40%,90%,0.2,80%,15,12,3,0,4.43,61%,3.07,59%,2.56,69%,75%,0
Cody Brundage,Sedriques Dumas,Middleweight,U-DEC,3,5:00,Lose,63%,16,10,6,0,1.62,54%,2.3,43%,2.33,52%,68%,0.9,82%,11,9,2,0,1.76,45%,2.14,57%,0.71,50%,40%,0.4
Marvin Vettori,Jared Cannonier,Middleweight,U-DEC,5,5:00,Lose,70%,27,19,7,1,4.56,45%,4.24,56%,1.66,45%,69%,0.5,74%,23,17,6,0,4.68,52%,4.13,59%,0.44,42%,63%,0
Joaquim Silva,Arman Tsarukyan,Lightweight,KO/TKO Punches,3,3:25,Lose,72%,18,13,5,0,3.61,41%,4.51,54%,0.45,60%,64%,0.7,88%,25,22,3,0,3.79,48%,1.84,53%,3.25,37%,75%,0
Christian Leroy Duncan,Armen Petrosyan,Middleweight,U-DEC,3,5:00,Lose,91%,11,10,1,0,5.96,62%,3.82,50%,0.45,14%,50%,0,75%,12,9,3,0,5.69,52%,2.9,56%,0.22,33%,31%,0
Lucas Almeida,Pat Sabatini,Featherweight,SUB Arm Triangle,2,1:48,Lose,82%,17,14,3,0,5.05,47%,5.32,45%,0,0%,40%,0,78%,23,18,5,0,2.02,59%,1.54,49%,3.73,42%,50%,1.9
Nikolas Motta,Manuel Torres,Lightweight,KO/TKO Elbow,1,1:50,Lose,74%,19,14,5,0,3.08,33%,4.78,51%,0,0%,82%,0,88%,17,15,2,0,8.14,58%,3.15,56%,3.26,66%,88%,1.6
Muslim Salikhov,Nicolas Dalby,Welterweight,U-DEC,3,5:00,Lose,79%,24,19,5,0,3.36,51%,2.94,62%,1.27,40%,73%,0,85%,27,23,4,0,4.03,43%,3.43,52%,1.11,30%,60%,0.1
Jimmy Flick,Alessandro Costa,Flyweight,KO/TKO Elbows,2,1:03,Lose,71%,24,17,7,0,1.7,50%,5.2,40%,1.79,26%,0%,5.4,76%,17,13,4,0,3.75,46%,3.61,56%,0.31,16%,90%,0
Cristian Quinonez,Kyung Ho Kang,Bantamweight,SUB Rear Naked Choke,1,2:25,Lose,78%,23,18,5,0,4.19,40%,4.55,55%,1.37,37%,84%,0,66%,29,19,10,0,3.35,48%,3.33,55%,1.87,57%,68%,0.8
Denys Bondar,Carlos Hernandez,Flyweight,U-DEC,3,4:59,Lose,74%,19,14,5,0,4.59,50%,5.16,56%,3.99,58%,62%,0,75%,12,9,3,0,4.95,46%,4.54,46%,1.11,15%,65%,0.3
Gabriella Fernandes,Tereza Bleda,Women's Flyweight,U-DEC,3,5:00,Lose,73%,11,8,3,0,1.63,47%,2.7,47%,0,0%,61%,0,88%,8,7,1,0,3.02,53%,1.86,46%,1.81,27%,83%,0.7
Ronnie Lawrence,Dan Argueta,Bantamweight,Overturned,1,2:20,NC,80%,10,8,2,0,2.78,56%,1.75,52%,6.75,77%,45%,0.2,82%,11,9,2,0,2.18,45%,1.9,51%,4.45,48%,57%,1.6
Zac Pauga,Modestas Bukauskas,Light Heavyweight,U-DEC,3,5:00,Lose,70%,10,7,3,0,4.46,62%,2.73,58%,0.38,7%,100%,0,71%,21,15,6,0,3.28,41%,3.87,50%,0,0%,71%,0
Irene Aldana,Amanda Nunes,Women's Bantamweight,U-DEC,5,5:00,Lose,68%,22,15,7,0,5.24,40%,6.33,57%,0.16,50%,76%,0.2,82%,28,23,5,0,4.55,51%,2.62,57%,2.73,54%,82%,0.7
Beneil Dariush,Charles Oliveira,Lightweight,KO/TKO Punches,1,4:10,Lose,76%,29,22,6,1,3.78,48%,2.65,57%,1.9,34%,80%,0.9,77%,44,34,10,0,3.39,53%,3.2,51%,2.17,40%,55%,2.8
Adam Fugitt,Mike Malott,Welterweight,SUB Guillotine Choke,2,1:06,Lose,69%,13,9,4,0,4.3,54%,5.13,48%,3.43,33%,50%,0,77%,13,10,2,1,3.83,46%,3.33,52%,3.04,60%,16%,1
Nate Landwehr,Dan Ige,Featherweight,U-DEC,3,5:00,Lose,78%,23,18,5,0,6.25,46%,5.75,55%,1,41%,86%,1,72%,25,18,7,0,3.76,45%,3.52,57%,1.06,26%,58%,0.3
Eryk Anders,Marc-Andre Barriault,Middleweight,U-DEC,3,5:00,Lose,67%,24,16,8,0,3.41,47%,4.17,50%,1.79,26%,79%,0.1,70%,23,16,7,0,6.19,47%,5.67,52%,0.22,25%,67%,0.1
Chris Curtis,Nassourdine Imavov,Middleweight,CNC,2,3:04,NC,74%,42,31,11,0,5.76,51%,6.16,52%,0,0%,82%,0,76%,17,13,4,0,4.53,54%,3.26,61%,0.87,31%,76%,1.5
Miranda Maverick,Jasmine Jasudavicius,Women's Flyweight,U-DEC,3,5:00,Lose,75%,20,15,5,0,3.8,47%,2.6,59%,2.49,46%,40%,0.4,77%,13,10,3,0,3.95,45%,4.03,51%,2.16,37%,80%,0.4
Aoriqileng,Aiemann Zahabi,Bantamweight,KO/TKO Punch,1,1:04,Lose,71%,35,25,10,0,5.31,50%,6.03,47%,1.45,46%,58%,0,85%,13,11,2,0,3.43,43%,3.61,71%,0.2,16%,79%,0
Blake Bilder,Kyle Nelson,Featherweight,U-DEC,3,5:00,Lose,73%,11,8,2,1,3.81,48%,4.15,53%,0.31,7%,71%,0.6,73%,22,16,5,1,3.65,45%,4.69,52%,1.1,20%,73%,0.6
David Dvorak,Steve Erceg,Flyweight,U-DEC,3,5:00,Lose,77%,26,20,6,0,3.48,43%,3.29,59%,0.58,30%,70%,0.2,92%,13,12,1,0,4.57,48%,3.64,55%,1.69,30%,77%,0.8
Maria Oliveira,Diana Belbita,Women's Strawweight,U-DEC,3,5:00,Lose,65%,20,13,7,0,5.03,38%,5.76,44%,0.95,44%,47%,0,63%,24,15,9,0,6.54,42%,6.55,51%,0.91,62%,65%,0
Kai Kara-France,Amir Albazi,Flyweight,S-DEC,5,5:00,Lose,69%,35,24,11,0,4.57,39%,3.24,65%,0.63,33%,88%,0,94%,18,17,1,0,2.8,39%,3.07,63%,1.71,33%,40%,0.7
Daniel Pineda,Alex Caceres,Featherweight,U-DEC,3,5:00,Lose,65%,43,28,15,0,3.09,49%,3.18,46%,1.71,25%,48%,1.7,60%,35,21,14,0,4.16,50%,2.93,63%,0.56,68%,64%,0.7
Jesse Butler,Jim Miller,Lightweight,KO/TKO Punch,1,0:23,Lose,71%,17,12,5,0,2.61,14%,7.83,40%,0,0%,0%,0,67%,55,37,18,0,2.99,42%,3.5,56%,1.53,44%,47%,1.7
Victor Altamirano,Tim Elliott,Flyweight,U-DEC,3,5:00,Lose,75%,16,12,4,0,4.55,57%,3.7,54%,3.43,39%,63%,0,60%,35,21,13,1,3.39,44%,2.66,56%,3.73,47%,59%,1
Ketlen Souza,Karine Silva,Women's Flyweight,SUB Other - Lock,1,1:45,Lose,76%,17,13,4,0,0,0%,1.71,70%,0,0%,0%,0,81%,21,17,4,0,3.37,35%,3.37,50%,2.45,60%,0%,4.1
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,Welterweight,S-DEC,3,5:00,Lose,77%,22,17,4,1,2.78,53%,2.61,65%,1.25,22%,88%,0,75%,32,24,7,1,4.52,42%,3.33,57%,0.43,13%,68%,0.4
Johnny Munoz,Daniel Santos,Bantamweight,U-DEC,3,5:00,Lose,75%,16,12,4,0,2.44,36%,2.66,55%,2.4,25%,45%,1.8,86%,14,12,2,0,4.26,37%,5.12,50%,1.9,50%,73%,0
Andrei Arlovski,Don'Tale Mayes,Heavyweight,KO/TKO Punch,2,3:17,Lose,60%,57,34,23,0,3.78,45%,3.2,57%,0.38,36%,76%,0.2,63%,16,10,6,0,3.6,44%,3.84,46%,0.79,43%,60%,0
Muin Gafurov,John Castaneda,Bantamweight,U-DEC,3,5:00,Lose,75%,24,18,6,0,2.98,41%,2.95,48%,2.4,26%,62%,0,78%,27,21,6,0,4.79,50%,4.99,56%,1.92,37%,71%,0.2
Jamie Mullarkey,Muhammad Naimov,Lightweight,KO/TKO Punch,2,2:59,Lose,71%,24,17,7,0,4.46,46%,4.49,54%,2.42,34%,76%,0.1,85%,13,11,2,0,3.33,46%,4.57,41%,1.94,33%,57%,0
Jinh Yu Frey,Elise Reed,Women's Strawweight,U-DEC,3,5:00,Lose,52%,21,11,10,0,2.97,43%,4.23,52%,1.02,36%,90%,0.3,64%,11,7,4,0,2.66,49%,3.06,52%,0.58,60%,42%,0
Luan Lacerda,Da'Mon Blackshear,Bantamweight,KO/TKO Punches,2,3:54,Lose,80%,15,12,3,0,4.52,44%,7.07,47%,1.26,25%,75%,0.6,67%,21,14,6,1,4.28,47%,4.09,48%,2.34,37%,66%,0.8
Maxim Grishin,Philipe Lins,Light Heavyweight,U-DEC,3,5:00,Lose,73%,44,32,10,2,3.26,52%,2.27,58%,0.21,16%,66%,0,78%,23,18,5,0,3.8,49%,3.59,46%,1.65,33%,100%,0
Angela Hill,Mackenzie Dern,Women's Strawweight,U-DEC,5,5:00,Lose,55%,29,16,13,0,5.44,50%,4.94,61%,0.73,34%,75%,0.1,72%,18,13,5,0,3.31,40%,4.09,51%,0.79,15%,28%,1.3
Edmen Shahbazyan,Anthony Hernandez,Middleweight,KO/TKO Elbows,3,1:01,Lose,76%,17,13,4,0,3.6,52%,4.09,45%,2.24,38%,63%,0.6,86%,14,12,2,0,4.3,59%,3.46,45%,6.62,49%,63%,3
Emily Ducote,Loopy Godinez,Catch Weight,U-DEC,3,5:00,Lose,62%,21,13,8,0,6.93,48%,7.98,56%,0.25,14%,92%,0,75%,16,12,4,0,4.13,48%,3.58,63%,3.04,46%,84%,1
Andre Fialho,Joaquin Buckley,Welterweight,KO/TKO Kick,2,4:15,Lose,67%,24,16,8,0,3.3,41%,6.26,45%,0.25,100%,66%,0,75%,24,18,6,0,4.06,34%,3.26,58%,1.4,36%,69%,0
Michael Johnson,Diego Ferreira,Lightweight,KO/TKO Punch,2,1:50,Lose,55%,42,23,19,0,4.27,39%,3.83,57%,0.62,41%,81%,0,78%,23,18,5,0,4.66,37%,3.42,56%,0.71,22%,63%,0.7
Maheshate,Viacheslav Borshchev,Lightweight,KO/TKO Punch,2,2:37,Lose,75%,12,9,3,0,2.91,26%,4.86,49%,0,0%,45%,0,64%,11,7,3,1,5.82,58%,4.07,56%,0,0%,36%,0
Vanessa Demopoulos,Karolina Kowalkiewicz,Women's Strawweight,U-DEC,3,5:00,Lose,67%,15,10,5,0,3.44,43%,5.06,43%,0.49,13%,30%,0.7,70%,23,16,7,0,5.92,43%,5.55,59%,0.36,26%,74%,0.2
Orion Cosce,Gilbert Urbina,Welterweight,KO/TKO Kick,2,2:55,Lose,80%,10,8,2,0,2.77,53%,4.02,44%,1.92,40%,61%,0,64%,11,7,4,0,5.61,57%,4.61,44%,3.01,44%,0%,0.8
Ilir Latifi,Rodrigo Nascimento,Heavyweight,S-DEC,3,5:00,Lose,65%,26,17,9,0,2.05,45%,2.93,56%,2.11,35%,100%,0.3,92%,12,11,1,0,4.31,48%,4.76,43%,1.2,33%,77%,0.7
Nick Fiore,Chase Hooper,Lightweight,U-DEC,3,5:00,Lose,75%,8,6,2,0,2.83,46%,7.93,42%,2.5,45%,71%,0,76%,17,13,3,1,4.86,51%,3.59,36%,1.42,22%,55%,2.2
Victoria Leonardo,Natalia Silva,Women's Flyweight,KO/TKO Punch,1,2:58,Lose,60%,15,9,6,0,3.27,39%,4.7,46%,1.6,27%,71%,0,74%,23,17,5,1,4.53,44%,2.1,65%,0.5,28%,91%,0
Takashi Sato,Themba Gorimbo,Welterweight,U-DEC,3,5:00,Lose,70%,23,16,7,0,2.21,41%,3.73,44%,0.76,37%,60%,0,75%,16,12,4,0,2.3,60%,1.67,46%,3.39,45%,66%,0
Jairzinho Rozenstruik,Jailton Almeida,Heavyweight,SUB Rear Naked Choke,1,3:43,Lose,74%,19,14,5,0,3.44,49%,2.78,47%,0,0%,75%,0,87%,23,20,3,0,2.54,64%,0.74,40%,6.88,59%,75%,2.2
