Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win/Loss (Fighter1),Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Jessica Andrade,Marina Rodriguez,Women's Strawweight,S-DEC,3,5:00,Win,68%,38,26,12,0,6.62,50%,5.37,55%,2.37,55%,72%,0.3,74%,23,17,4,2,4.82,47%,3.12,55%,0.23,42%,65%,0.2
Bobby Green,Jim Miller,Lightweight,U-DEC,3,5:00,Win,68%,47,32,15,0,6.45,52%,3.75,62%,1.19,38%,74%,0.3,67%,55,37,18,0,2.99,42%,3.5,56%,1.53,44%,47%,1.7
Deiveson Figueiredo,Cody Garbrandt,Bantamweight,SUB Rear Naked Choke,2,4:02,Win,85%,27,23,3,1,3.01,55%,3.38,50%,1.65,42%,58%,1.7,70%,20,14,6,0,2.98,40%,3.76,60%,1.03,34%,80%,0
Brendan Allen,Chris Curtis,Middleweight,S-DEC,5,5:00,Win,83%,29,24,5,0,3.98,53%,3.83,47%,1.74,47%,58%,1.4,74%,42,31,11,0,5.76,51%,6.16,52%,0,0%,82%,0
Damon Jackson,Alexander Hernandez,Featherweight,S-DEC,3,5:00,Win,79%,29,23,6,0,3,41%,3.29,51%,2.51,35%,40%,1.4,64%,22,14,8,0,4.33,41%,4.66,55%,1.06,31%,59%,0.1
Chepe Mariscal,Morgan Charriere,Featherweight,S-DEC,3,5:00,Win,70%,23,16,6,1,4.7,52%,3.68,52%,2.35,28%,66%,0.4,63%,30,19,10,1,3.98,49%,4.24,55%,1.59,40%,87%,0.8
Ignacio Bahamondes,Christos Giagos,Lightweight,KO/TKO Kick,1,3:34,Win,75%,20,15,5,0,7.15,46%,4.38,57%,0,0%,85%,0.4,63%,32,20,12,0,3.03,41%,3.21,50%,2.84,36%,52%,0.4
Charlie Campbell,Trevor Peek,Lightweight,U-DEC,3,5:00,Win,82%,11,9,2,0,5.55,54%,3.73,55%,2.95,40%,71%,0,82%,11,9,2,0,4.58,54%,4.17,44%,1.82,53%,54%,0
Alex Morono,Court McGee,Welterweight,U-DEC,3,5:00,Win,73%,33,24,9,0,4.87,40%,4.16,58%,0.32,22%,55%,0.4,63%,35,22,13,0,4.6,37%,3.62,61%,1.84,25%,69%,0.4
Lukasz Brzeski,Valter Walker,Heavyweight,U-DEC,3,5:00,Win,69%,13,9,4,0,4.78,49%,3.15,56%,0.48,50%,36%,0.5,92%,12,11,1,0,2.2,49%,3.87,43%,4,80%,0%,0
